,Unnamed: 0.1,Unnamed: 0,id,author_id,text,hashtags,created_at,geo,like_count,quote_count,reply_count,retweet_count,possibly_sensitive,Actionability,Actionability_2
0,15927,3928,1.47e+18,335964354.0,"A downtown full of delivery warehouses? ‘Dark stores’ are coming to Boston. Fascinating article that poses important questions about how we fill vacant space &amp; the impacts those decisions have on downtown vibrancy. @thomcal #yycplan
https://t.co/LthNs5JWWX via @BostonGlobe",#yycplan,2021-12-10T19:52:05.000Z,5,8,1,1,4,False,F,F
1,17130,5131,1.46e+18,438896146.0,So much goodness here! New permanent supportive housing ✅ Partnerships ✅ Adaptive reuse ✅ Downtown vibrancy ✅ Commitment to making all Calgarians have a home ✅✅✅ #yycplan ❤️ https://t.co/Vw7IxtIVEQ,#yycplan,2021-11-18T19:36:42.000Z,{'place_id': '53504716d445dcad'},26,0,0,4,False,F,F
2,7471,7471,1.39e+18,1685880318.0,"Experience our community centre renovations: new virtual tour at,  https://t.co/F97dcxbLdm, let us host your next event #riverbendyyc #yyccommunity #yycca #yycliving #calgaryevents #yyc #calgary #yycevents #yycnow #calgarylife #yycliving #yyclocal #yyclife  #calgaryliving https://t.co/7nHa6XGmuY",#riverbendyyc #yyccommunity #yycca #yycliving #calgaryevents #yyc #calgary #yycevents #yycnow #calgarylife #yycliving #yyclocal #yyclife #calgaryliving,2021-05-17T16:02:20.000Z,5,2,0,0,0,False,F,F
3,10783,10783,1.38e+18,1.16e+18,"#yycbike #yycpathwayreport
Not much ice on the downtown pathways today! Clearing in progress, leaving a wet but non frozen base. I haven't been out of downtown yet.",#yycbike #yycpathwayreport,2021-03-26T16:37:11.000Z,5,5,0,1,0,False,F,F
4,16263,4264,1.47e+18,18999809.0,$14.7 million in funding announced to fight invasive species in Alberta mountain parks https://t.co/jAmnNAOCvz,5,2021-12-04T21:51:40.000Z,5,7,2,4,2,False,F,F
5,11134,11134,1.37e+18,1.31e+18,"Each of us plays a vital role in protecting our  parks.  
Be considerate of other visitors and leave what you find. ⁣⁣
#LoveABParx  #hike365 
#albertarockies #abparks #yeg #yyc #travelalberta 
#keepitwild #thegreatoutdoors  #mykcountry #makemoments 

DM for📸credit https://t.co/lxzpdmQtYl",#LoveABParx #hike365 #albertarockies #abparks #yeg #yyc #travelalberta #keepitwild #thegreatoutdoors #mykcountry #makemoments,2021-03-21T17:00:00.000Z,5,0,0,0,0,False,F,F
6,15148,3149,1.48e+18,74296453.0,"Off the Wall @vanscanada @blinebikepark
.
.
#bmx #bmxtricks #tabletop #bikes #yycnow #yyc #yycphotographer #yycbikes #yycliving #nooffseason #offthewall #possibilities #totalbmx #eclatbmx #coffee @ Calgary, Alberta https://t.co/7VN5S2uzgP",#bmx #bmxtricks #tabletop #bikes #yycnow #yyc #yycphotographer #yycbikes #yycliving #nooffseason #offthewall #possibilities #totalbmx #eclatbmx #coffee,2021-12-27T15:13:42.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.057, 51.045]}}",0,0,0,1,False,F,F
7,8450,8450,1.39e+18,1.34e+18,"Flow's first Mountain Bike Skills clinic of the season is on May 8 in Calgary! 2 spots have opened up, therefore you should join us if you're a beginner mtn biker looking to develop your skills!

https://t.co/U4Ch3TXu0v

@BCKOR @XCBraggCreek @mmbtsinfo#yyc #yeg #calgary #alberta https://t.co/amJhPJkFNl",#yeg #calgary #alberta,2021-05-03T16:31:15.000Z,"{'place_id': '78eade64798c0031', 'coordinates': {'type': 'Point', 'coordinates': [-115.376128, 51.0918656]}}",2,0,0,0,False,F,T
8,15982,3983,1.47e+18,293526047.0,Again?! That's a 3 km detour... #yycbike @yyctransport https://t.co/YCEMwRf6m9,#yycbike,2021-12-09T20:22:50.000Z,5,5,0,2,0,False,T,F
9,10223,10223,1.38e+18,206457337.0,"#Firefighters and #ecologists teamed up to save an #owl #egg from an ashtray over Easter weekend | CBC News https://t.co/VHqw5o8ErB ""Lake Louise parks staff safely created a new nest for the mama owl and her egg """,#Firefighters #ecologists #owl #egg,2021-04-06T15:01:52.000Z,5,2,0,0,1,False,F,F
10,13247,1248,1.49e+18,2688537468.0,#yycbike https://t.co/GmQlzHrUDk,#yycbike,2022-02-08T15:25:02.000Z,5,6,0,0,0,False,F,F
11,20506,8507,1.44e+18,1.18e+18,STOLEN - Gray Merlin Cyrene  in Elbow Park https://t.co/Orw21gUsGs #yycbike,#yycbike,2021-09-17T15:24:21.000Z,5,0,0,0,1,False,T,F
12,8326,8326,1.39e+18,9.79e+17,"TODAY: If you haven't brushed up on your Guide (fka Guidebook) background, here's the place to start.   

Discussion comes up today at the Planning and Urban Development meeting at 9:30 a.m. #yyc #yyccc #calgary #yycplan 

https://t.co/icBaW7BzXm",#yyc #yyccc #calgary #yycplan,2021-05-05T15:02:00.000Z,5,3,2,0,2,False,F,F
13,8050,8050,1.39e+18,365249229.0,"Opened Tree Maintenance - City Owned request via iphone at 181 Inglewood Pa SE https://t.co/GhJb5bBgCl. New trees planted fall of 2020 in new small park area near bike path, se corner of pearce estates park. concern: 24 trees have not been collared t... https://t.co/DNfnYOiiiE",5,2021-05-09T20:59:29.000Z,"{'place_id': '53504716d445dcad', 'coordinates': {'type': 'Point', 'coordinates': [-114.01281613, 51.03947743]}}",0,0,0,0,False,F,F
14,19702,7703,1.44e+18,87878273.0,"Insufficient housing supply boosted home prices again in August
https://t.co/elErQoR2gx
#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor",#calgaryhomes #calgarybuzz #yychomes #yycliving #calgaryrealestate #yycrealestate #calgaryrealestate #yycrealtor,2021-10-01T16:32:00.000Z,5,1,0,0,0,False,F,T
15,19689,7690,1.44e+18,1.18e+18,STOLEN - Red Specialized Pitch 27.5 in Symons Valley https://t.co/TyhJ2SbvX7 #yycbike https://t.co/cQr9DGORol,#yycbike,2021-10-01T18:50:13.000Z,5,0,0,0,0,False,T,T
16,11160,11160,1.37e+18,1.37e+18,"Alert, the bike talk in Calgary is heating up: windsofjane Colour! Flowers. Spring rains to wash the dust away. More hikes. And bike rides.Leigh McAdamAvid world traveler. Craves adventure &amp; the odd wildly epic day. Gardener. Reader. Wine lover. Author of Discover Canada: 100 Ins",5,2021-03-21T00:12:07.000Z,5,1,0,0,0,False,F,T
17,6049,6049,1.4e+18,65128365.0,"@desmondbliek TBF there's nothing close to Calgary's harmful car culture and extensive freeway system in Vancouver either, with just a handful of limited access routes.

There are lots of bike paths in the city, but riverfront is definitely lacking. https://t.co/cPoSOfZ4dU",5,2021-06-07T14:36:02.000Z,5,0,0,0,0,False,T,F
18,14227,2228,1.48e+18,18984207.0,"A (mostly) sunny Monday to start the #WorkWeek.

Weather conditions changing tonight. Prepare for a slower commute overnight and Tuesday AM! #yyc #yyctraffic #yycroads #abroads #660traffic #yycweather

(PIC: 16 Ave at 36 st NE.) https://t.co/GiN4v9u3j4",#WorkWeek #yyc #yyctraffic #yycroads #abroads #660traffic #yycweather,2022-01-17T18:40:58.000Z,5,0,0,0,1,False,F,T
19,16839,4840,1.46e+18,138913667.0,Don’t they know we have 10 months of winter?!?!?! #yycbike https://t.co/wDoQy3Pa1H,#yycbike,2021-11-24T05:57:46.000Z,5,35,0,3,1,False,F,F
20,15609,3610,1.47e+18,1.41e+18,We are beyond excited to announce our new partner Cactus Bike &amp; Ski! Their generosity will allow us to further our cause and donate bicycles to financially disadvantaged children. You can donate using our innovative TipTap donation devices located at their store in Calgary. https://t.co/ouml4WJCsd,5,2021-12-16T21:54:06.000Z,5,0,0,0,0,False,F,F
